egfp_coca_hdac5_coca	egfp_coca_egfp_saline	egfp_coca_hdac5_saline	hdac5_coca_egfp_saline	hdac5_coca_hdac5_saline	egfp_saline_hdac5_saline
0610010F05Rik	0.0642902187326427	0.115898211065231	-0.0418314139936683	0.0516079923325884	-0.106121632726311	-0.157729625058899
0610030E20Rik	-0.266670485767187	-0.244989084701584	-0.244433663495401	0.0216814010656025	0.0222368222717853	0.000555421206182849
0610040J01Rik	-0.0548054520185546	-0.0791367277541275	0.228983023229744	-0.0243312757355729	0.283788475248298	0.308119750983871
1110004F10Rik	-0.0355990644727671	0.043316591998069	0.0915650154029859	0.0789156564708361	0.127164079875753	0.0482484234049169
1110008P14Rik	-0.198122738335615	0.191103139714495	-0.0155614186676669	0.389225878050109	0.182561319667948	-0.206664558382162
1110012L19Rik	0.0397222809605416	-0.0667757046081456	0.179455661682469	-0.106497985568687	0.139733380721928	0.246231366290615
1110032F04Rik	-0.131515853605046	0.0441218401737397	0.111346381075217	0.175637693778785	0.242862234680262	0.0672245409014769
1110038F14Rik	-0.136329601923983	0.0739645311577129	-0.123747085386919	0.210294133081696	0.0125825165370642	-0.197711616544632
1110051M20Rik	-0.0627553478622184	-0.111975086035159	-0.0652738209460156	-0.049219738172941	-0.00251847308379724	0.0467012650891438
1110059E24Rik	-0.209272732194246	0.153331615510979	-0.17997116571216	0.362604347705225	0.0293015664820861	-0.333302781223139
1110059G10Rik	0.155013461985369	0.0742844563013844	0.00517626310577791	-0.0807290056839843	-0.149837198879591	-0.0691081931956065
1110065P20Rik	-0.265375356692283	0.0740123183855822	0.0337562262382175	0.339387675077866	0.299131582930501	-0.0402560921473646
1500009C09Rik	-0.121615152050999	-0.0124239830327231	0.0325445154847317	0.109191169018276	0.154159667535731	0.0449684985174548
1600012H06Rik	0.0224915505879541	0.0162524155867864	-0.114265905453942	-0.00623913500116766	-0.136757456041896	-0.130518321040728
1700001L19Rik	-0.367566042845976	-0.214343289565249	0.0202127266165554	0.153222753280728	0.387778769462532	0.234556016181804
1700003E16Rik	-0.156346637647385	0.106902011464283	-0.161314588525359	0.263248649111668	-0.00496795087797415	-0.268216599989642
1700019D03Rik	-0.0752137186222917	-0.174432840192726	0.0679426237144203	-0.0992191215704339	0.143156342336712	0.242375463907146
1700022I11Rik	-0.659450847456201	0.330202864832418	-0.222950970365258	0.989653712288619	0.436499877090943	-0.553153835197676
1700025G04Rik	-0.145644641341333	-0.0541318339327028	-0.0671115831079284	0.0915128074086299	0.0785330582334043	-0.0129797491752256
1700029I15Rik	-0.448116815427067	0.0350568042557512	-0.397044645577047	0.483173619682818	0.0510721698500192	-0.432101449832799
1700037C18Rik	-0.170595075110431	0.227154394683946	0.0342974630816226	0.397749469794377	0.204892538192053	-0.192856931602324
1700037H04Rik	-0.170319975310733	-0.310401208480795	-0.0578099821511442	-0.140081233170062	0.112509993159589	0.252591226329651
1700066M21Rik	-0.0795105425560212	-0.0969244286573497	-0.192388490373474	-0.0174138861013286	-0.112877947817453	-0.0954640617161242
1700123O20Rik	-0.0200193814055052	0.0475635605375762	0.180144680858406	0.0675829419430814	0.200164062263911	0.13258112032083
1810010H24Rik	0.0582799439054717	-0.11925948110084	0.199992721886484	-0.177539425006312	0.141712777981013	0.319252202987324
1810013L24Rik	-0.00711650915676822	0.0329526103588443	0.00744159602440023	0.0400691195156125	0.0145581051811685	-0.0255110143344441
1810030O07Rik	0.361612902496833	-0.068723562423612	0.308752818212858	-0.430336464920445	-0.0528600842839752	0.37747638063647
1810049J17Rik	-0.0972806305799363	0.205793663303814	0.229794344895886	0.30307429388375	0.327074975475823	0.0240006815920724
1810058I24Rik	-0.474303543617701	-0.4506257505352	-0.371023473453432	0.0236777930825009	0.103280070164269	0.0796022770817681
2010300C02Rik	-0.0214380895382196	-0.128729448790213	-0.0601840457174546	-0.107291359251994	-0.0387459561792349	0.0685454030727588
