Gene	Direction
PGAP1	Downreg
PHC3	Downreg
PIP4K2C	Downreg
PLXNA2	Downreg
POLR3B	Downreg
PPM1K	Downreg
PPP1R9A	Downreg
PRDM10	Downreg
PSEN1	Downreg
PTCHD1	Downreg
R3HCC1L	Downreg
RAD54L	Downreg
RASAL2	Downreg
RASGRF2	Downreg
RCAN3	Downreg
RNF150	Downreg
RXFP1	Downreg
SCN2A	Downreg
SERF1A	Downreg
SH3BGRL2	Downreg
SIK2	Downreg
SLC24A4	Downreg
SLC26A4	Downreg
SLC2A13	Downreg
SLC6A7	Downreg
SLC7A14	Downreg
SLC9A7	Downreg
SMCR8	Downreg
SORCS1	Downreg
SPEN	Downreg
SRCAP	Downreg
SS18L1	Downreg
ST6GAL2	Downreg
ST8SIA3	Downreg
STX17	Downreg
STXBP5L	Downreg
SYN3	Downreg
TGFBRAP1	Downreg
TLN2	Downreg
TMEM131	Downreg
TMEM178B	Downreg
TMEM245	Downreg
TNR	Downreg
TNRC6B	Downreg
TRPC5	Downreg
UBXN2B	Downreg
UNC5C	Downreg
USP37	Downreg
USP6NL	Downreg
VOPP1	Downreg
VPS13C	Downreg
XKR4	Downreg
XPR1	Downreg
XYLT1	Downreg
ZBTB37	Downreg
ZDHHC21	Downreg
ZNF526	Downreg
ZNF618	Downreg
ZNF827	Downreg
ZNF831	Downreg
ZNF483	Downreg
ZMAT4	Downreg
ZNRF3	Downreg
C5orf49	Upreg
ACE2	Upreg
ACSM5	Upreg
BAX	Upreg
CARD19	Upreg
CCDC39	Upreg
CCDC88B	Upreg
CHCHD1	Upreg
CHPT1	Upreg
CILP	Upreg
CPT2	Upreg
DENND2A	Upreg
DYSF	Upreg
ECHDC1	Upreg
ECI2	Upreg
EMILIN1	Upreg
ENKD1	Upreg
EXOG	Upreg
FAHD2A	Upreg
FBN1	Upreg
FGFR1	Upreg
FLT3	Upreg
GADD45G	Upreg
GAS2L1	Upreg
RPL35	Upreg
GPX1	Upreg
GSTM1	Upreg
GSTZ1	Upreg
H2AJ	Upreg
HES5	Upreg
HOOK2	Upreg
IFFO1	Upreg
ISOC1	Upreg
JAG1	Upreg
KATNBL1	Upreg
KLHL5	Upreg
KMT5C	Upreg
KRCC1	Upreg
KRR1	Upreg
LHX2	Upreg
LMOD1	Upreg
LRP10	Upreg
MAD2L1	Upreg
MAOB	Upreg
MARCHF2	Upreg
MDK	Upreg
MPND	Upreg
MRPL14	Upreg
MTAP	Upreg
MTMR11	Upreg
NADK2	Upreg
NDUFS7	Upreg
NEDD1	Upreg
NELFE	Upreg
NOL7	Upreg
NPR2	Upreg
NRAS	Upreg
ORC5	Upreg
OSER1	Upreg
OSTF1	Upreg
PCSK6	Upreg
PHGDH	Upreg
PLA2G6	Upreg
PLD2	Upreg
PPP1R3G	Upreg
PRDX6	Upreg
PSME1	Upreg
RAB34	Upreg
RBIS	Upreg
RFTN2	Upreg
RLBP1	Upreg
RMDN3	Upreg
RND2	Upreg
RPL19	Upreg
RPL22L1	Upreg
RPL28	Upreg
RPL31	Upreg
RPS18	Upreg
RPS20	Upreg
RPS21	Upreg
RPS26	Upreg
RPS27	Upreg
RPS3	Upreg
SARNP	Upreg
SAT1	Upreg
SCARF2	Upreg
SEPSECS	Upreg
SIGIRR	Upreg
SLC25A1	Upreg
SLC35A1	Upreg
SLC4A2	Upreg
SNF8	Upreg
TBX2	Upreg
TBX3	Upreg
TKFC	Upreg
TMEM147	Upreg
TOB1	Upreg
TRIM39	Upreg
TP53INP2	Upreg
TP53RK	Upreg
TSC22D3	Upreg
TWF1	Upreg
UCP2	Upreg
UPP1	Upreg
VAMP8	Upreg
NTAQ1	Upreg
ZADH2	Upreg
