MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey	MEgrey60	MElightcyan	MElightgreen	MElightyellow	MEmagenta	MEmidnightblue	MEpink	MEpurple	MEred	MEroyalblue	MEsalmon	MEtan	MEturquoise	MEyellow	Rows	Condition	Genotype	Sample
CowO2	-0.131631650081565	0.252271019710657	-0.430516671603069	-0.166582017377041	0.0417154485895775	0.408076034594949	-0.268101980838315	-0.333553237435702	-0.270076445867435	0.0808298861600981	-0.059366989818645	0.168913155321135	-0.401271583007201	0.203100365604972	-0.411802975332645	-0.380744641719855	-0.192125560454018	-0.0813485646248028	0.0284692331125585	-0.467775529493108	-0.0678172272950961	-0.353163970707535	0.51623253881802	0.281456472934074	0.42639331846655	CowO2	COCA	EGFP	EGFP_COCA
CowO6	-0.118153469371656	-0.098076429776337	0.134381567496745	0.0692244952342786	0.292168768030132	-0.342670075129871	0.110302869340677	-0.0498139198795107	0.0975103695835624	0.39369280802262	-0.250545226823371	0.0151607596353409	-0.185694295749701	-0.0378141900605043	-0.0701393268043432	-0.0911835014018618	-0.290496355270256	-0.226373982747326	0.104083199696836	0.0268323116541662	-0.018599947488502	0.214978931074337	-0.0173282359317363	0.0305773244436916	-0.1250829743877	CowO6	COCA	EGFP	EGFP_COCA
CowO8	-0.0469430516498977	-0.128848150960177	0.119213236515452	0.107415773026507	-0.428206989405342	0.288209603463757	-0.211817489366447	0.271682431004245	0.0540379904763439	-0.0570558452960905	-0.00590395457816086	-0.0217584073497818	0.364043086811525	0.464152317733883	0.198751124406003	0.176733665173773	-0.107041371300869	0.380409929401239	-0.144598311651363	0.126453651394263	0.210639407051798	-0.159036247168148	0.0263032609984136	-0.0309248191166514	-0.124244759236314	CowO8	COCA	EGFP	EGFP_COCA
CowO10	0.20559126493244	0.343803101803419	-0.299926269357237	0.466928782336378	-0.45603539027339	0.283631319146647	-0.235308290080545	-0.404424761810792	-0.303403172238206	-0.115807856105894	-0.354500634305032	0.138600722649963	-0.344991746295202	-0.0916829858300741	0.307441162128326	-0.0204261931178104	0.441692164383096	-0.371043715624643	0.419644117438758	-0.102657411414896	-0.398653746971223	-0.0579872948238777	-0.286350679032628	-0.0609133133251254	0.298992152413188	CowO10	SALINE	EGFP	EGFP_SALINE
CowO12	-0.350449475836521	-0.433101893499889	0.182156978628189	-0.465093576190912	0.0180820623679564	-0.440146456433577	-0.240096449351776	0.293160026843904	0.410012255582828	-0.468228412940758	-0.237107790256287	0.29939058355103	0.296381445088911	0.309830816103598	0.2268978710999	0.50178517259021	0.0802817256632068	-0.166881727658241	0.166981859603417	-0.139063761165625	-0.338999916594529	-0.346473210868245	-0.313494060709557	0.297605468600808	-0.230597217461877	CowO12	SALINE	EGFP	EGFP_SALINE
CowO14	0.159776085207376	0.305155153156879	-0.394088334638384	-0.446229886933377	0.427670388303014	0.289136316983466	-0.48478300934514	-0.221272448993245	-0.320536522765078	-0.409386908046324	0.775553444132135	0.283773754635386	0.0491267663937226	-0.411873774458393	-0.289137222075075	-0.285076169362216	-0.201105941184212	-0.516233415059805	0.473624350775911	-0.200425054694824	0.320628193471857	0.285086775753976	-0.235277153787102	0.0679604120208766	0.367478113606753	CowO14	SALINE	EGFP	EGFP_SALINE
CowO21	0.518985024801867	0.397285780884117	0.113706082692473	0.485691458332112	-0.297291293028053	0.222743795136415	0.287551631899271	-0.162465951988504	-0.342400074630088	0.325728165031161	-0.0542722646115491	-0.419636905032744	0.184147190186281	-0.346280733922212	0.268722902400673	-0.393974574013113	0.398251652172074	0.0277473770886851	-0.196792587994942	0.425857713851453	0.407136369931725	0.418546969094265	-0.2397893480136	-0.52966485306905	-0.102107131008008	CowO21	COCA	HDAC5	HDAC5_COCA
CowO3	0.273780812656838	-0.284417668068042	0.552355848337333	-0.165829982944226	0.0883932001590447	-0.299212021452155	0.476906690640307	0.400822239819758	0.390451008933352	0.296377658852059	0.320856942547911	-0.491428917066861	0.355551315071221	-0.346512432717221	0.358639506446039	-0.191358424184023	-0.0820086792108891	0.357688456759949	-0.325160720560312	0.469346297086772	0.32828551880528	0.368191183569076	0.0286674858023564	-0.386168154484463	-0.526485599611568	CowO3	COCA	HDAC5	HDAC5_COCA
CowO7	0.232077583171178	0.0705152105196253	0.250500827783281	0.202412907988057	0.0472656461638501	0.0265325768989788	0.338271116847942	-0.232623737628619	-0.00903986181748295	0.269442956686087	-0.0640189336675962	-0.373432880863512	0.230219323333054	-0.315132996181521	0.114451689128578	-0.163308732008768	0.308826368020709	0.0856629364060386	-0.436005012079182	0.345291298678089	0.297549960802553	0.273719144853459	-0.365402579661547	-0.311874486677722	-0.242728219735299	CowO7	COCA	HDAC5	HDAC5_COCA
CowO11	-0.36513044432965	-0.363844837981345	0.182712051286071	-0.0483031433498021	0.258074075613743	-0.19364915497334	0.291995005265132	0.318312106198281	0.38579621147147	0.151999779187586	0.0669770335995396	-0.193059348275398	-0.236175143960125	0.148008760291981	-0.251372725864623	0.342988711443796	-0.304723916060068	0.368659596197777	-0.292947565837635	-0.0482454451862365	-0.263981364735117	-0.117740333128738	0.292574481050343	0.195688304662155	-0.203172552118359	CowO11	SALINE	HDAC5	HDAC5_SALINE
