nodeName	altName	nodeAttr[nodesPresent, ]
Nf2	NA	green
Nhsl1	NA	green
Nlgn2	NA	green
Notch3	NA	green
Nova2	NA	green
Npas2	NA	green
Nrn1	NA	green
Nsmaf	NA	green
Ntng2	NA	green
Numbl	NA	green
Olfml2a	NA	green
Opa3	NA	green
Oplah	NA	green
Osbp2	NA	green
Osbpl10	NA	green
Otof	NA	green
Otud6b	NA	green
Otud7a	NA	green
P4ha2	NA	green
Pacsin1	NA	green
Pak6	NA	green
Palm	NA	green
Parvb	NA	green
Pde1b	NA	green
Pde4a	NA	green
Pdk1	NA	green
Per1	NA	green
Pgbd5	NA	green
Pgls	NA	green
Phactr1	NA	green
Phf21b	NA	green
Phospho2	NA	green
Piezo1	NA	green
Pip5k1c	NA	green
Pitpnm3	NA	green
Pkd1	NA	green
Plcg1	NA	green
Plch2	NA	green
Plcxd2	NA	green
Pld4	NA	green
Plec	NA	green
Plekha5	NA	green
Plekhg5	NA	green
Plekhm1	NA	green
Plekho2	NA	green
Pmepa1	NA	green
Poc5	NA	green
Pou2f2	NA	green
Ppm1h	NA	green
Ppp1r12b	NA	green
Ppp1r7	NA	green
Ppp2r2c	NA	green
Prdx5	NA	green
Prelid3a	NA	green
Prrc2a	NA	green
Ptpn1	NA	green
Ptprn	NA	green
Pus10	NA	green
Pygo1	NA	green
Pym1	NA	green
Qtrt1	NA	green
R3hdm2	NA	green
Rab11fip5	NA	green
Rai1	NA	green
Ranbp17	NA	green
Rap1gap2	NA	green
Rapgef1	NA	green
Rasgef1c	NA	green
Rasip1	NA	green
Rfc4	NA	green
Rgs5	NA	green
Rhobtb1	NA	green
Rimbp2	NA	green
Rimkla	NA	green
Rims1	NA	green
Rims4	NA	green
Rnf126	NA	green
Rnf165	NA	green
Rnf24	NA	green
Rpa1	NA	green
Rph3a	NA	green
Rprml	NA	green
Rreb1	NA	green
Rtn4rl2	NA	green
Samd10	NA	green
Sbk1	NA	green
Scrt2	NA	green
Sec16a	NA	green
Septin3	NA	green
Sfswap	NA	green
Sh3pxd2a	NA	green
