fromNode	toNode	weight	direction	fromAltName	toAltName
1110004F10Rik	Eprs	0.0219467924277453	undirected	NA	NA
1110004F10Rik	Ergic3	0.020579231453737	undirected	NA	NA
1110004F10Rik	Eri3	0.020182686700412	undirected	NA	NA
1110004F10Rik	Etfa	0.0122657781703659	undirected	NA	NA
1110004F10Rik	Ewsr1	0.0311148454158573	undirected	NA	NA
1110004F10Rik	Fahd2a	0.0214811363914458	undirected	NA	NA
1110004F10Rik	Fam49b	0.00495816936015312	undirected	NA	NA
1110004F10Rik	Fam50a	0.0866053408473128	undirected	NA	NA
1110004F10Rik	Fam83h	0.0317120052244577	undirected	NA	NA
1110004F10Rik	Fbln1	0.00850984119006382	undirected	NA	NA
1110004F10Rik	Fibin	0.0113372106179896	undirected	NA	NA
1110004F10Rik	Focad	0.00350687686792313	undirected	NA	NA
1110004F10Rik	Fubp3	0.0196072168412367	undirected	NA	NA
1110004F10Rik	Fxr2	0.00349035146365648	undirected	NA	NA
1110004F10Rik	Fzd5	0.0443639442395944	undirected	NA	NA
1110004F10Rik	Gaa	0.000934301895831677	undirected	NA	NA
1110004F10Rik	Gabarapl2	0.0169329261908918	undirected	NA	NA
1110004F10Rik	Ganab	0.00177263586252426	undirected	NA	NA
1110004F10Rik	Gars	0.00786394967444882	undirected	NA	NA
1110004F10Rik	Gatm	0.00826220553167357	undirected	NA	NA
1110004F10Rik	Gclm	0.00369379109174837	undirected	NA	NA
1110004F10Rik	Get4	0.00130682698281875	undirected	NA	NA
1110004F10Rik	Gga1	0.0189215183779224	undirected	NA	NA
1110004F10Rik	Gltp	0.0652506113388495	undirected	NA	NA
1110004F10Rik	Gm7102	0.0284712184557531	undirected	NA	NA
1110004F10Rik	Gna12	0.0134982226105039	undirected	NA	NA
1110004F10Rik	Gprc5b	0.00565924427833975	undirected	NA	NA
1110004F10Rik	Gtf2ird1	0.0028639334356602	undirected	NA	NA
1110004F10Rik	Gtpbp10	0.00661153120136258	undirected	NA	NA
1110004F10Rik	H3f3a	0.027333827419797	undirected	NA	NA
1110004F10Rik	Hadh	0.0512785729741361	undirected	NA	NA
1110004F10Rik	Hagh	0.0291180630526912	undirected	NA	NA
1110004F10Rik	Hepacam	0.00810421528738445	undirected	NA	NA
1110004F10Rik	Herpud2	0.015946114946284	undirected	NA	NA
1110004F10Rik	Hes6	0.0232883603347613	undirected	NA	NA
1110004F10Rik	Hexim1	0.0042557150647037	undirected	NA	NA
1110004F10Rik	Hmbs	0.0048469253283946	undirected	NA	NA
1110004F10Rik	Hnrnpl	0.0218678685903447	undirected	NA	NA
1110004F10Rik	Hsd17b10	0.0063224797432099	undirected	NA	NA
1110004F10Rik	Hsdl2	0.00148995361756812	undirected	NA	NA
1110004F10Rik	Hspe1	0.00532664744217572	undirected	NA	NA
1110004F10Rik	Id3	0.00835255295989531	undirected	NA	NA
1110004F10Rik	Iffo1	0.013698373697044	undirected	NA	NA
1110004F10Rik	Ift46	0.0067768510219729	undirected	NA	NA
1110004F10Rik	Immt	0.00768044752549529	undirected	NA	NA
1110004F10Rik	Ing4	0.00165545579049089	undirected	NA	NA
1110004F10Rik	Ino80	0.00583961890841235	undirected	NA	NA
1110004F10Rik	Insig2	0.00425831741595305	undirected	NA	NA
1110004F10Rik	Ip6k2	0.0340155263331401	undirected	NA	NA
1110004F10Rik	Itgb1	0.00236641088923673	undirected	NA	NA
1110004F10Rik	Itgb1bp1	0.00341922749596547	undirected	NA	NA
1110004F10Rik	Ivns1abp	0.00724727320839678	undirected	NA	NA
1110004F10Rik	Jag1	0.0514536681594635	undirected	NA	NA
1110004F10Rik	Kat8	0.0507597715721145	undirected	NA	NA
1110004F10Rik	Kcmf1	0.0119096362324876	undirected	NA	NA
1110004F10Rik	Kctd11	0.00844304369940901	undirected	NA	NA
1110004F10Rik	Kdelr1	0.00793936560442587	undirected	NA	NA
1110004F10Rik	Klf3	0.000830545134930006	undirected	NA	NA
1110004F10Rik	Klhl35	0.0430691798782374	undirected	NA	NA
1110004F10Rik	Kras	0.000811344499074733	undirected	NA	NA
1110004F10Rik	Krcc1	0.041843153403112	undirected	NA	NA
1110004F10Rik	Lamp1	0.0133741199093398	undirected	NA	NA
1110004F10Rik	Lamp2	0.0034526908282391	undirected	NA	NA
1110004F10Rik	Ldb1	0.00886344133746153	undirected	NA	NA
1110004F10Rik	Lmbrd1	0.00667196219914819	undirected	NA	NA
1110004F10Rik	Lrp10	0.0084899751401404	undirected	NA	NA
1110004F10Rik	Lrrcc1	0.00067521970250309	undirected	NA	NA
1110004F10Rik	Lsm14a	0.0065513004367407	undirected	NA	NA
1110004F10Rik	Ltbr	0.0574038685634319	undirected	NA	NA
1110004F10Rik	Luc7l2	0.0186109106954324	undirected	NA	NA
1110004F10Rik	Map3k11	0.00330996787625935	undirected	NA	NA
1110004F10Rik	Map4	0.00334722890726727	undirected	NA	NA
1110004F10Rik	Map7	0.021161771439355	undirected	NA	NA
1110004F10Rik	Mapre1	0.00278058212581929	undirected	NA	NA
1110004F10Rik	Marchf3	0.0213645054130211	undirected	NA	NA
1110004F10Rik	Marcks	0.00568497473647558	undirected	NA	NA
1110004F10Rik	Mark3	0.0105237415012463	undirected	NA	NA
1110004F10Rik	Matr3	0.00201216165539981	undirected	NA	NA
1110004F10Rik	Max	0.0218582939560042	undirected	NA	NA
1110004F10Rik	Meikin	0.0204490847457903	undirected	NA	NA
1110004F10Rik	Mex3b	0.0365927740362054	undirected	NA	NA
1110004F10Rik	Mff	0.00984809278641537	undirected	NA	NA
1110004F10Rik	Mfsd14a	0.00611559961739365	undirected	NA	NA
1110004F10Rik	Mid1ip1	0.00791312093755199	undirected	NA	NA
1110004F10Rik	Mlycd	0.0204843768865205	undirected	NA	NA
1110004F10Rik	Mmp23	0.00364581387244766	undirected	NA	NA
1110004F10Rik	Mpc1	0.00317654326197452	undirected	NA	NA
1110004F10Rik	Mpp5	0.00546085629062075	undirected	NA	NA
1110004F10Rik	Mpv17	0.00907733052211208	undirected	NA	NA
1110004F10Rik	Mrfap1	0.0269372658657732	undirected	NA	NA
1110004F10Rik	Mrpl3	0.0100860470163355	undirected	NA	NA
1110004F10Rik	Msmo1	0.00183502037888213	undirected	NA	NA
1110004F10Rik	Myh14	0.0282311064922608	undirected	NA	NA
1110004F10Rik	Naa50	0.0120736740061152	undirected	NA	NA
1110004F10Rik	Nedd1	0.0149361979223084	undirected	NA	NA
1110004F10Rik	Nr1h3	0.0319224295463749	undirected	NA	NA
1110004F10Rik	Nras	0.00796048826759965	undirected	NA	NA
1110004F10Rik	Nsmce1	0.00100503467628952	undirected	NA	NA
1110004F10Rik	Nub1	0.00357481618367069	undirected	NA	NA
1110004F10Rik	Nucb1	0.00424528179824878	undirected	NA	NA
1110004F10Rik	Nudc	0.02930999906271	undirected	NA	NA
1110004F10Rik	Oard1	0.000934787542387794	undirected	NA	NA
1110004F10Rik	Oaz2	0.00579030414268003	undirected	NA	NA
1110004F10Rik	Olfr520	0.00774554395648118	undirected	NA	NA
1110004F10Rik	Otub1	0.0238113617913926	undirected	NA	NA
1110004F10Rik	P4hb	0.00971442272378762	undirected	NA	NA
1110004F10Rik	Pabpc1	0.014777491857525	undirected	NA	NA
1110004F10Rik	Paip1	0.00863550826570478	undirected	NA	NA
1110004F10Rik	Pcgf1	0.00838073428221438	undirected	NA	NA
1110004F10Rik	Pdcd5	0.0230640033411158	undirected	NA	NA
1110004F10Rik	Pex19	0.00797492144538555	undirected	NA	NA
1110004F10Rik	Pfn1	0.0147204374521861	undirected	NA	NA
1110004F10Rik	Pgd	0.001698711517495	undirected	NA	NA
1110004F10Rik	Pink1	0.0148170483241286	undirected	NA	NA
1110004F10Rik	Pir	0.00558436170715495	undirected	NA	NA
1110004F10Rik	Ppil2	0.0699853745113656	undirected	NA	NA
1110004F10Rik	Ppp1r10	0.0319026385297685	undirected	NA	NA
1110004F10Rik	Ppp1r14c	0.0186745368062392	undirected	NA	NA
1110004F10Rik	Ppp2r2d	0.00477564718069654	undirected	NA	NA
1110004F10Rik	Ppp4c	0.0121234403921999	undirected	NA	NA
1110004F10Rik	Ppt1	0.00210213015590442	undirected	NA	NA
1110004F10Rik	Prdx3	0.00977698485940397	undirected	NA	NA
1110004F10Rik	Prdx6	0.00180064360180927	undirected	NA	NA
1110004F10Rik	Prmt1	0.0470888071445752	undirected	NA	NA
1110004F10Rik	Psmb2	0.00434080643203424	undirected	NA	NA
1110004F10Rik	Psmc2	0.0201984266859331	undirected	NA	NA
1110004F10Rik	Psmd12	0.0260047054814188	undirected	NA	NA
1110004F10Rik	Psmd14	0.00433325453051114	undirected	NA	NA
1110004F10Rik	Ptov1	0.016620490107452	undirected	NA	NA
1110004F10Rik	Puf60	0.0191299259517587	undirected	NA	NA
1110004F10Rik	Pwwp3a	0.0254653495682015	undirected	NA	NA
1110004F10Rik	Pycr2	0.00242395661660189	undirected	NA	NA
1110004F10Rik	Qk	0.0126325422166132	undirected	NA	NA
1110004F10Rik	Qpct	0.0172270242340586	undirected	NA	NA
1110004F10Rik	Rab10	0.0134774035336569	undirected	NA	NA
1110004F10Rik	Rab21	0.00404777071894356	undirected	NA	NA
1110004F10Rik	Rab28	0.030307596241508	undirected	NA	NA
1110004F10Rik	Rab5a	0.00677882549408725	undirected	NA	NA
1110004F10Rik	Rab7	0.0134958084238986	undirected	NA	NA
1110004F10Rik	Rasa4	0.047409894549283	undirected	NA	NA
1110004F10Rik	Rbm8a	0.0323163759014237	undirected	NA	NA
1110004F10Rik	Rcbtb2	0.00444996035006175	undirected	NA	NA
1110004F10Rik	Relb	0.00709605820637784	undirected	NA	NA
1110004F10Rik	Rhoa	0.00614428133682026	undirected	NA	NA
1110004F10Rik	Rin2	0.0126543589939727	undirected	NA	NA
1110004F10Rik	Rnf103	0.0256281029704865	undirected	NA	NA
1110004F10Rik	Rnf11	0.00403535624287844	undirected	NA	NA
1110004F10Rik	Rpl18	0.0101506193433989	undirected	NA	NA
1110004F10Rik	Rpl22	0.00318884326608146	undirected	NA	NA
1110004F10Rik	Rpl22l1	0.00263510092469831	undirected	NA	NA
1110004F10Rik	Rpl23	0.00237215000638089	undirected	NA	NA
1110004F10Rik	Rpl23a	0.0404612763605219	undirected	NA	NA
1110004F10Rik	Rpl37	0.0130435068144211	undirected	NA	NA
1110004F10Rik	Rpl4	0.0232271745344741	undirected	NA	NA
1110004F10Rik	Rpl9	0.00237755209374664	undirected	NA	NA
1110004F10Rik	Rpn2	0.00576798231734509	undirected	NA	NA
1110004F10Rik	Rpp30	0.00502236719615636	undirected	NA	NA
1110004F10Rik	Rps19	0.00996823987454176	undirected	NA	NA
1110004F10Rik	Rps20	0.0281819061476642	undirected	NA	NA
1110004F10Rik	Rps24	0.0248228474115285	undirected	NA	NA
